-0.1007	-0.09401	-0.99047
-0.72918	0.47758	0.49013
-0.33887	-0.46424	0.81832
0.99435	-0.01694	0.1048
-0.78928	-0.48465	-0.37702
-0.46688	0.4704	0.74883
-0.0054636	-0.58135	0.81364
-0.387	0.74737	-0.54005
0.15542	0.95886	-0.23757
0.2466	-0.95277	-0.17726
-0.71662	0.68345	0.13914
-0.67955	0.15998	0.71597
-0.4926	0.7513	0.43919
-0.42724	-0.90361	-0.031079
-0.99087	0.12417	-0.052501
0.87838	0.12326	0.4618
-0.14431	0.91244	0.38291
0.96704	0.022943	-0.25358
-0.67735	0.16855	-0.71609
0.070053	-0.84175	0.53531
-0.19231	-0.91405	-0.35711
0.57199	0.50005	-0.65022
-0.88604	0.19961	-0.41843
0.47464	0.60741	0.637
0.39225	0.79483	-0.46301
-0.20064	-0.17445	0.96401
-0.49354	-0.14868	-0.85692
0.70512	0.6255	-0.33401
-0.24137	-0.41296	-0.87818
0.81335	0.25869	-0.52109
0.019542	-0.64569	-0.76335
-0.56128	-0.17288	0.80937
-0.92116	-0.3867	-0.043827
-0.90822	0.37759	0.18047
-0.11089	0.41252	0.90418
0.41161	0.01568	0.91122
0.89815	-0.32117	-0.30029
0.66666	-0.49459	0.55762
-0.56889	-0.47422	-0.67193
-0.074951	0.99606	0.047365
0.50997	0.85375	-0.10505
0.14169	-0.27851	0.94992
-0.54599	-0.75602	-0.361
-0.85864	0.48502	-0.16583
0.19669	-0.95733	0.21174
0.4629	-0.79111	0.39983
0.37814	-0.60357	-0.70193
-0.72297	-0.6902	-0.030674
0.27037	-0.011417	-0.96269
0.46535	-0.33454	0.81947
