1.4413	0.3464
-0.22917	-0.1505
0.0014586	-1.3537
2.1825	1.1636
1.8092	0.61717
0.57824	0.15753
0.93229	-0.59877
0.81194	0.89537
0.72916	0.65741
1.2706	1.4518
0.70569	0.38895
1.826	1.1704
0.554	-0.11829
0.087283	-0.16259
1.1758	1.1384
-0.27979	0.68712
0.32681	0.031285
2.2439	-0.79709
-0.48112	0.46142
0.037645	0.097126
0.0067061	1.357
-0.06992	0.50824
-63.939	8.0837
2.0938	0.42138
2.0367	0.83163
1.2279	0.59078
0.90992	1.1207
1.4146	-0.0056379
2.5588	0.48995
1.1419	1.7718
-0.5243	1.5348
60.948	-6.0818
0.50522	1.167
2.392	0.18298
2.3569	0.76365
0.22173	0.55576
-0.21451	0.97966
1.699	0.36362
3.2303	-0.060675
6.0047	1.1158
0.93912	1.4488
1.9302	-0.39548
1.9724	1.5079
0.32582	1.4125
0.36115	0.75524
1.1826	0.28745
0.34779	-0.31003
0.059552	0.7914
1.6007	1.4771
0.50773	-0.64848
1.1183	-0.0076275
2.0948	-0.023841
0.38589	0.31389
0.067534	-0.47405
2.5369	1.1532
3.8731	2.7919
0.66454	-0.39677
1.6873	0.89613
0.81031	-0.13073
0.57373	0.88678
0.82661	0.11162
1.5727	-0.5364
2.38	-0.22634
0.9567	0.57601
1.4611	1.1139
1.6665	-0.15663
0.074863	1.0839
1.447	0.74712
1.0879	0.8491
0.71818	1.2769
0.93849	0.32189
0.50732	0.54166
1.2894	-0.41861
0.61563	1.5626
0.3153	1.0092
0.12516	0.32291
-5.3465	-0.80451
1.8376	0.12315
1.0181	-0.30862
-0.23997	0.21629
